,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.07,0.07,0.07,0.07,0.07,0.07,0.49,0.07,6
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.64,7
1,0.05,0.05,0.05,0.05,0.05,0.62,0.05,0.05,5
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.06,0.55,0.06,0.06,0.06,0.06,0.06,0.06,1
1,0.07,0.07,0.07,0.51,0.07,0.07,0.07,0.07,3
1,0.41,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0
1,0.08,0.08,0.41,0.08,0.08,0.08,0.08,0.08,2
1,0.41,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.08,0.08,0.08,0.08,0.45,0.08,0.08,0.08,4
